"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Ireland","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Ireland","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Ireland","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Ireland","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Ireland","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Ireland","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Ireland","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Ireland","53.6875","53.6875","53.6875","53.6875","53.6875","54.2575","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Ireland","91.83","91.83","91.83","91.83","91.83","92.59","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Ireland","19.0794425","19.1737925","19.2689358333333","19.2411408333333","19.3386641666667","19.256625","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Ireland","67.6905","65.9045","69.448","69.1725","65.8285","68.916","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Ireland","86.8266666666667","90.2466666666667","90.0883333333333","89.5183333333333","89.8666666666667","89.8666666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Ireland","96.9305215","97.1376975","97.3446455","97.5350255","97.5324415","97.5297245","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Ireland","92.9972955480127","92.9972955480127","94.6758118918924","94.6758118918924","94.6758118918924","94.6758118918924","Source","renewable ressources","renewable ressources","Europe"
"15","Ireland","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"16","Ireland","96.4351054066996","96.4351054066996","97.3014963358182","97.3014963358182","97.3014963358182","97.3014963358182","Source","Source","Source","Europe"
"17","Ireland","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"18","Ireland","70.2148355050412","70.2148355050412","70.2148355050412","70.2148355050412","70.2148355050412","70.8780778873129","Sink","critical ecosystems","critical ecosystems","Europe"
"19","Ireland","39.6238747749684","39.6238747749684","39.6238747749684","39.6238747749684","39.6238747749684","39.810576518126","Sink","Sink","Sink","Europe"
"20","Ireland","35.9374039483412","35.5477032706228","36.5812664591226","36.4822945316457","35.6796195901164","36.4292405699048","Life support","ecosystem health","ecosystem health","Europe"
"21","Ireland","35.9374039483412","35.5477032706228","36.5812664591226","36.4822945316457","35.6796195901164","36.4292405699048","Life support","Life support","Life support","Europe"
"22","Ireland","91.7395993020826","93.628806502326","93.6462325564631","93.4407455256226","93.6211269397387","93.6198229101793","Human health and welfare","human health","human health","Europe"
"23","Ireland",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"24","Ireland","91.7395993020826","93.628806502326","93.6462325564631","93.4407455256226","93.6211269397387","93.6198229101793","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"25","Ireland","59.5763525096333","59.7177290412428","60.2845990973516","60.2107068089466","59.9056293855885","60.2884307486856","13","SESI layer","SESI layer","Europe"
