"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Burundi","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Burundi","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Burundi",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"4","Burundi","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Burundi","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Burundi","64.0171534538711","66.5129037243084","69.7426981919332","70.4767423891207","74.146963375058","73.3365446371227","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Burundi",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"8","Burundi",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"9","Burundi","26.8457791666667","27.207015","27.619435","27.9674675","28.5015083333333","28.3211383333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"10","Burundi","25.995","25.995","28.3383333333333","27.23","27.1666666666667","27.1666666666667","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Burundi","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Africa"
"12","Burundi","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Burundi","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Source","Source","Source","Africa"
"14","Burundi","80.0107201904039","81.5554435487346","83.5120938498929","83.9504272705748","86.1086310279394","85.6367588346983","Sink","global System","global System","Africa"
"15","Burundi",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","critical ecosystems","Africa"
"16","Burundi","80.0107201904039","81.5554435487346","83.5120938498929","83.9504272705748","86.1086310279394","92.5401312051687","Sink","Sink","Sink","Africa"
"17","Burundi","26.8457791666667","27.207015","27.619435","27.9674675","28.5015083333333","28.3211383333333","Life support","ecosystem health","ecosystem health","Africa"
"18","Burundi","26.8457791666667","27.207015","27.619435","27.9674675","28.5015083333333","28.3211383333333","Life support","Life support","Life support","Africa"
"19","Burundi","25.995","25.995","28.3383333333333","27.23","27.1666666666667","27.1666666666667","Human health and welfare","human health","human health","Africa"
"20","Burundi",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Burundi","25.995","25.995","28.3383333333333","27.23","27.1666666666667","27.1666666666667","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Burundi","33.4271810964644","33.6997879768837","34.7700942046511","34.5781834535138","34.9429020836464","35.5214383493321","10","SESI","SESI","Africa"
