"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Mayotte",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","Mayotte","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Mayotte",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"4","Mayotte","89.626","89.4835","89.417","89.3505","89.2745","89.1985","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"5","Mayotte","95.497228","95.130528","94.764455","94.3989995","94.0341615","93.7774145","Human health and welfare","human health","Drinking water contamination","America"
"6","Mayotte","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","renewable ressources","America"
"7","Mayotte",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Mayotte","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","Source","Source","America"
"9","Mayotte",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"10","Mayotte",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Mayotte",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"12","Mayotte","89.626","89.4835","89.417","89.3505","89.2745","89.1985","Life support","ecosystem health","ecosystem health","America"
"13","Mayotte","89.626","89.4835","89.417","89.3505","89.2745","89.1985","Life support","Life support","Life support","America"
"14","Mayotte","95.497228","95.130528","94.764455","94.3989995","94.0341615","93.7774145","Human health and welfare","human health","human health","America"
"15","Mayotte",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Mayotte","95.497228","95.130528","94.764455","94.3989995","94.0341615","93.7774145","Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Mayotte","83.6294365036759","83.4779676339751","83.9711622338224","83.8422843219407","83.7103845736422","83.6103891591069","5","SESI layer","SESI layer","America"
