"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Aruba","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Aruba","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Aruba","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Aruba",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Aruba","84.4295","84.268","84.097","83.9355","83.774","83.6125","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","Aruba","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","Source","renewable ressources","renewable ressources","America"
"7","Aruba",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Aruba","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","Source","Source","Source","America"
"9","Aruba","5","5","5","5","5","5","Sink","global System","global System","America"
"10","Aruba",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Aruba","5","5","5","5","5","5","Sink","Sink","Sink","America"
"12","Aruba","84.4295","84.268","84.097","83.9355","83.774","83.6125","Life support","ecosystem health","ecosystem health","America"
"13","Aruba","84.4295","84.268","84.097","83.9355","83.774","83.6125","Life support","Life support","Life support","America"
"14","Aruba",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","Aruba",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Aruba",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Aruba","32.1807478381569","32.1602158831038","32.2244181156352","32.2037769572239","32.1831093047486","32.1624150730288","5","SESI layer","SESI layer","America"
