"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Turks and Caicos Islands","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Turks and Caicos Islands","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Turks and Caicos Islands","5","5","5","5","5","19.656535875","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Turks and Caicos Islands","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Turks and Caicos Islands","75.68","75.6515","75.737","75.756","75.813","75.927","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","Turks and Caicos Islands","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","Source","renewable ressources","renewable ressources","America"
"7","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Turks and Caicos Islands","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","Source","Source","Source","America"
"9","Turks and Caicos Islands","5","5","5","5","5","19.656535875","Sink","global System","global System","America"
"10","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Turks and Caicos Islands","5","5","5","5","5","19.656535875","Sink","Sink","Sink","America"
"12","Turks and Caicos Islands","86.9942526837262","86.977870748829","87.0270073023312","87.0379227693308","87.0706609599353","87.1361004406325","Life support","ecosystem health","ecosystem health","America"
"13","Turks and Caicos Islands","86.9942526837262","86.977870748829","87.0270073023312","87.0379227693308","87.0706609599353","87.1361004406325","Life support","Life support","Life support","America"
"14","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Turks and Caicos Islands","32.5033591819317","32.5013188121209","32.594395616149","32.5957582895955","32.5998446018088","51.4639696812983","5","SESI layer","SESI layer","America"
