"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Slovakia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Slovakia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Slovakia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"4","Slovakia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Slovakia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6","Slovakia","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7","Slovakia","51.74","51.74","51.74","51.74","51.74","52.5","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8","Slovakia","51.835","51.835","51.835","51.835","51.835","49.935","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Slovakia","58.7737908333333","58.8543141666667","58.9198066666667","58.9913625","58.9526591666667","58.933095","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Slovakia","55.5083333333333","58.8966666666667","57.2816666666667","55.4133333333333","65.515","65.515","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Slovakia","99.030734","99.079754","99.128774","99.1778035","99.2268235","99.275853","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Slovakia","64.375","64.375","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Slovakia","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"14","Slovakia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Slovakia","100","100","100","100","100","100","Source","Source","Source","Europe"
"16","Slovakia","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Slovakia","51.7874782162638","51.7874782162638","51.7874782162638","51.7874782162638","51.7874782162638","51.201440409426","Sink","critical ecosystems","critical ecosystems","Europe"
"18","Slovakia","34.0294463185717","34.0294463185717","34.0294463185717","34.0294463185717","34.0294463185717","33.8363563791052","Sink","Sink","Sink","Europe"
"19","Slovakia","58.7737908333333","58.8543141666667","58.9198066666667","58.9913625","58.9526591666667","58.933095","Life support","ecosystem health","ecosystem health","Europe"
"20","Slovakia","58.7737908333333","58.8543141666667","58.9198066666667","58.9913625","58.9526591666667","58.933095","Life support","Life support","Life support","Europe"
"21","Slovakia","74.1419651285064","76.3902300346931","75.3542393588001","74.1334788379267","80.6278198986088","80.6477371616526","Human health and welfare","human health","human health","Europe"
"22","Slovakia","64.375","64.375","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Slovakia","69.0860984941804","70.1257517498627","62.8975163765391","62.3859570656021","65.0612061421932","65.0692415891469","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Slovakia","60.9687531260503","61.217794477473","59.5919261721404","59.4884342004365","60.1063143238172","60.0177411659348","12","SESI","SESI","Europe"
