"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Micronesia","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Micronesia","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Micronesia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Micronesia","79.21875","79.21875","79.21875","79.21875","79.21875","79.21875","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Micronesia","100","81","100","100","52.5","100","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"6","Micronesia",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"7","Micronesia","84.2205","84.23","84.1065","83.9925","83.8595","83.736","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"8","Micronesia","91.6083333333333","91.355","91.7033333333333","91.6716666666667","91.165","91.165","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"9","Micronesia","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","renewable ressources","renewable ressources","Oceania"
"10","Micronesia","79.21875","79.21875","79.21875","79.21875","79.21875","79.21875","Source","non-renewable ressources","non-renewable ressources","Oceania"
"11","Micronesia","85.0763702209838","85.0763702209838","83.8242604400315","83.8242604400315","83.8242604400315","83.8242604400315","Source","Source","Source","Oceania"
"12","Micronesia","100","81","100","100","52.5","100","Sink","global System","global System","Oceania"
"13","Micronesia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"14","Micronesia","100","81","100","100","52.5","100","Sink","Sink","Sink","Oceania"
"15","Micronesia","84.2205","84.23","84.1065","83.9925","83.8595","83.736","Life support","ecosystem health","ecosystem health","Oceania"
"16","Micronesia","84.2205","84.23","84.1065","83.9925","83.8595","83.736","Life support","Life support","Life support","Oceania"
"17","Micronesia","91.6083333333333","91.355","91.7033333333333","91.6716666666667","91.165","91.165","Human health and welfare","human health","human health","Oceania"
"18","Micronesia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"19","Micronesia","91.6083333333333","91.355","91.7033333333333","91.6716666666667","91.165","91.165","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"20","Micronesia","90.0099327974368","85.3342298907996","89.6697798096119","89.6316397121961","76.1600744123639","89.4391204078116","8","SESI","SESI","Oceania"
