"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","South Korea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","South Korea","81.2786666666667","81.2786666666667","81.2786666666667","81.2786666666667","81.2786666666667","81.2786666666667","Source","renewable ressources","Surfacewater Stress","Asia"
"3","South Korea","8.76189866666666","8.76189866666666","8.76189866666666","8.76189866666666","8.76189866666666","8.76189866666666","Source","renewable ressources","Groundwater stress","Asia"
"4","South Korea","15.09375","15.09375","15.09375","15.09375","15.09375","15.09375","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","South Korea","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","South Korea","7.1593349603238","15.503459258179","17.1303325959752","22.2179282870859","27.6265588331585","5.86086601048238","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","South Korea","44.235","44.235","44.235","44.235","44.235","85.94","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"8","South Korea","96.2","96.2","96.2","96.2","96.2","96.2","Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"9","South Korea","82.62948","82.1612716666667","81.6954858333333","81.3079708333333","80.9670216666667","80.6054458333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"10","South Korea","72.868","71.4905","72.032","70.7875","69.3625","69.125","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"11","South Korea","28.4016666666667","29.51","34.1016666666667","40.7833333333333","39.7066666666667","39.7066666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"12","South Korea","98.6905105","98.8039975","98.9175415","99.031133","99.1447815","99.231279","Human health and welfare","human health","Drinking water contamination","Asia"
"13","South Korea","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"14","South Korea","26.6862406699616","26.6862406699616","26.6862406699616","26.6862406699616","26.6862406699616","26.6862406699616","Source","renewable ressources","renewable ressources","Asia"
"15","South Korea","15.09375","15.09375","15.09375","15.09375","15.09375","15.09375","Source","non-renewable ressources","non-renewable ressources","Asia"
"16","South Korea","20.0697644508408","20.0697644508408","20.0697644508408","20.0697644508408","20.0697644508408","20.0697644508408","Source","Source","Source","Asia"
"17","South Korea","5.98303224139892","8.8043907393354","9.25481836557995","10.5399070885577","11.7529908604488","5.41334739809038","Sink","global System","global System","Asia"
"18","South Korea","65.2334806675223","65.2334806675223","65.2334806675223","65.2334806675223","65.2334806675223","90.9253979919802","Sink","critical ecosystems","critical ecosystems","Asia"
"19","South Korea","19.755860347058","23.9654136848031","24.5707959767788","26.2212666608406","27.6891405081605","22.1858235510927","Sink","Sink","Sink","Asia"
"20","South Korea","77.5953925735285","76.6403966070494","76.7117281486127","75.8655915772399","74.9404766488322","74.6448353419657","Life support","ecosystem health","ecosystem health","Asia"
"21","South Korea","77.5953925735285","76.6403966070494","76.7117281486127","75.8655915772399","74.9404766488322","74.6448353419657","Life support","Life support","Life support","Asia"
"22","South Korea","52.9431296995575","53.9972773964114","58.0797127034834","63.5517089267996","62.743197167183","62.7705609195904","Human health and welfare","human health","human health","Asia"
"23","South Korea","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"24","South Korea","63.5367109598164","64.1661312646818","66.5475626423734","69.6119085047125","69.1676859812276","69.1827671470198","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"25","South Korea","37.3916579069487","39.2168494611076","39.8326183673331","40.830160112887","41.1972153816725","38.9407113552877","13","SESI layer","SESI layer","Asia"
