"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Bahamas","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Bahamas","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Bahamas",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"4","Bahamas","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","America"
"5","Bahamas","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"6","Bahamas","22.3495668461719","17.4560992741747","39.476703348162","40.1439943807071","40.8112854132522","19.8485835232823","Sink","global System","Consumption of HCFC in ODP per capita","America"
"7","Bahamas","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"8","Bahamas","79.3565","81.1995","80.8575","80.031","79.024","78.948","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"9","Bahamas","98.9866666666667","98.2266666666667","97.4666666666667","98.0683333333333","99.3666666666667","99.3666666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"10","Bahamas","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","Source","renewable ressources","renewable ressources","America"
"11","Bahamas","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","America"
"12","Bahamas","88.8509524461136","88.8509524461136","89.2077061011681","89.2077061011681","89.2077061011681","89.2077061011681","Source","Source","Source","America"
"13","Bahamas","10.5710848180714","9.3424031368205","14.0493244229326","14.167567607163","14.2848320629352","9.96207396160114","Sink","global System","global System","America"
"14","Bahamas",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"15","Bahamas","10.5710848180714","9.3424031368205","14.0493244229326","14.167567607163","14.2848320629352","9.96207396160114","Sink","Sink","Sink","America"
"16","Bahamas","89.0822653506297","90.1107651726474","89.9207984839992","89.4600469483445","88.8954442027262","88.8526870724797","Life support","ecosystem health","ecosystem health","America"
"17","Bahamas","89.0822653506297","90.1107651726474","89.9207984839992","89.4600469483445","88.8954442027262","88.8526870724797","Life support","Life support","Life support","America"
"18","Bahamas","98.9866666666667","98.2266666666667","97.4666666666667","98.0683333333333","99.3666666666667","99.3666666666667","Human health and welfare","human health","human health","America"
"19","Bahamas",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"20","Bahamas","98.9866666666667","98.2266666666667","97.4666666666667","98.0683333333333","99.3666666666667","99.3666666666667","Human health and welfare","Human health and welfare","Human health and welfare","America"
"21","Bahamas","53.6460066823087","52.0633002035152","57.5696408862262","57.7050598122923","57.9227848772538","52.9256079396241","9","SESI","SESI","America"
