"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Finland","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Finland","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Finland","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Finland","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Finland","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Finland","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Finland","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Finland","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Finland","86.32","86.32","86.32","86.32","86.32","87.555","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Finland","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Finland","76.0885","73.5615","72.6115","73.096","75.072","75.9935","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Finland","97.3716666666667","98.765","98.8283333333333","98.195","98.5116666666667","98.5116666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Finland","100","100","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Finland","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","Finland","92.9972955480127","92.9972955480127","94.6758118918924","94.6758118918924","94.6758118918924","94.6758118918924","Source","renewable ressources","renewable ressources","Europe"
"16","Finland","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","Finland","96.4351054066996","96.4351054066996","97.3014963358182","97.3014963358182","97.3014963358182","97.3014963358182","Source","Source","Source","Europe"
"18","Finland","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"19","Finland","92.9085571946955","92.9085571946955","92.9085571946955","92.9085571946955","92.9085571946955","93.5708287876088","Sink","critical ecosystems","critical ecosystems","Europe"
"20","Finland","45.5795841993722","45.5795841993722","45.5795841993722","45.5795841993722","45.5795841993722","45.7417461275898","Sink","Sink","Sink","Europe"
"21","Finland","87.2287223338735","85.7680010260237","85.2123817294177","85.4961987459092","86.6440996259988","87.174250785424","Life support","ecosystem health","ecosystem health","Europe"
"22","Finland","87.2287223338735","85.7680010260237","85.2123817294177","85.4961987459092","86.6440996259988","87.174250785424","Life support","Life support","Life support","Europe"
"23","Finland","98.6770827835251","99.3805816042551","99.4124405360483","99.0933902942068","99.2530436141213","99.2530436141213","Human health and welfare","human health","human health","Europe"
"24","Finland","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","Finland","86.7417290710981","87.0503839585125","87.0643359296657","86.9245132855702","86.9945088817492","86.9945088817492","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","Finland","75.9404692123918","75.6877115635869","75.7370209515427","75.7695552256326","76.0379111791543","76.221603443966","14","SESI layer","SESI layer","Europe"
