"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Marshall Islands","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Marshall Islands","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Marshall Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Marshall Islands","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Marshall Islands","62.286432160804","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"6","Marshall Islands","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania"
"7","Marshall Islands","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania"
"8","Marshall Islands",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"9","Marshall Islands","88.201","88.2865","87.46","88.03","88.049","87.9635","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"10","Marshall Islands","93.35","92.8116666666667","93.1916666666667","93.2233333333333","93.0016666666667","93.0016666666667","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"11","Marshall Islands","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","renewable ressources","renewable ressources","Oceania"
"12","Marshall Islands","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"13","Marshall Islands","95.586147857833","95.586147857833","94.1793606342424","94.1793606342424","94.1793606342424","94.1793606342424","Source","Source","Source","Oceania"
"14","Marshall Islands","62.286432160804","100","100","100","100","100","Sink","global System","global System","Oceania"
"15","Marshall Islands","100","100","100","100","100",NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"16","Marshall Islands","78.9217537569991","100","100","100","100","100","Sink","Sink","Sink","Oceania"
"17","Marshall Islands","88.201","88.2865","87.46","88.03","88.049","87.9635","Life support","ecosystem health","ecosystem health","Oceania"
"18","Marshall Islands","88.201","88.2865","87.46","88.03","88.049","87.9635","Life support","Life support","Life support","Oceania"
"19","Marshall Islands","93.35","92.8116666666667","93.1916666666667","93.2233333333333","93.0016666666667","93.0016666666667","Human health and welfare","human health","human health","Oceania"
"20","Marshall Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"21","Marshall Islands","93.35","92.8116666666667","93.1916666666667","93.2233333333333","93.0016666666667","93.0016666666667","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"22","Marshall Islands","88.7758582592923","94.0747250912499","93.6020956879982","93.7621952329367","93.7114643545406","93.6887064314049","10","SESI","SESI","Oceania"
