"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Norway","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Norway","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Norway","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Norway",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe"
"5","Norway","88.95625","88.95625","88.95625","88.95625","88.95625","88.95625","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Norway","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Norway","5","5","5","5","5","5","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Norway","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Norway","100","100","100","100","100","5","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Norway","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Norway","65.8095","65.9235","65.9235","65.515","65.3345","65.515","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Norway","94.2366666666667","95.7883333333333","95.6933333333333","95.7883333333333","95.8833333333333","95.8833333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Norway","99.068012","98.996553","98.9250845","98.8536255","98.7821665","98.710698","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Norway","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","Norway","90.7737809760898","90.7737809760898","92.9648381354279","92.9648381354279","92.9648381354279","92.9648381354279","Source","renewable ressources","renewable ressources","Europe"
"16","Norway","88.95625","88.95625","88.95625","88.95625","88.95625","88.95625","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","Norway","89.8604203971598","89.8604203971598","90.9384593138935","90.9384593138935","90.9384593138935","90.9384593138935","Source","Source","Source","Europe"
"18","Norway","5","5","5","5","5","5","Sink","global System","global System","Europe"
"19","Norway","100","100","100","100","100","22.3606797749979","Sink","critical ecosystems","critical ecosystems","Europe"
"20","Norway","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","10.5737126344056","Sink","Sink","Sink","Europe"
"21","Norway","81.123054676214","81.1932878999243","81.1932878999243","80.941336781647","80.8297593711623","80.941336781647","Life support","ecosystem health","ecosystem health","Europe"
"22","Norway","81.123054676214","81.1932878999243","81.1932878999243","80.941336781647","80.8297593711623","80.941336781647","Life support","Life support","Life support","Europe"
"23","Norway","96.6221466547568","97.3792319625442","97.2957917182787","97.3089103350895","97.3219574294944","97.2867450370296","Human health and welfare","human health","human health","Europe"
"24","Norway","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","Norway","85.8337852038765","86.1694054589214","86.1324800439344","86.138286569043","86.1440610489136","86.128475599383","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","Norway","61.1595106957745","61.2324544730014","61.4087021335208","61.362041337837","61.3419115523547","50.883040806783","14","SESI","SESI","Europe"
