"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Russian Federation",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Russian Federation","66.4333365","66.4333365","62.6935","62.6935","62.6935","62.6935","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Russian Federation","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Russian Federation","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Russian Federation","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Russian Federation","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Russian Federation","9.47120008819985","26.0943370881631","34.0591889415638","31.1771068168599","32.2100334931322","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Russian Federation","92.0675","92.0675","92.0675","92.0675","92.0675","92.0675","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","Russian Federation","87.5076583333333","87.5112708333333","87.5301408333333","87.5347025","87.5308066666667","87.52599","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"10","Russian Federation","74.4355","73.2385","74.73","74.768","74.825","74.9295","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"11","Russian Federation","85.7816666666667","88.2516666666667","89.2966666666667","86.6366666666667","87.7133333333333","87.7133333333333","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"12","Russian Federation","93.964118","93.802276","93.640263","93.477908","93.3151065","93.1517635","Human health and welfare","human health","Drinking water contamination","Asia"
"13","Russian Federation","43","43","46.022729","46.022729","46.022729","46.022729","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"14","Russian Federation","87.2560110033991","87.2560110033991","85.5869411907099","85.5869411907099","85.5869411907099","85.5869411907099","Source","renewable ressources","renewable ressources","Asia"
"15","Russian Federation","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"16","Russian Federation","93.4109260222802","93.4109260222802","92.5132105110994","92.5132105110994","92.5132105110994","92.5132105110994","Source","Source","Source","Asia"
"17","Russian Federation","6.88156962044265","11.422420296978","13.0497488369631","12.4854128519765","12.6905542615625","22.3606797749979","Sink","global System","global System","Asia"
"18","Russian Federation","92.0675","92.0675","92.0675","92.0675","92.0675","92.0675","Sink","critical ecosystems","critical ecosystems","Asia"
"19","Russian Federation","25.1707948033054","32.4289019347252","34.6620505891833","33.9042880436877","34.1816852199596","45.3728099767319","Sink","Sink","Sink","Asia"
"20","Russian Federation","80.707349738861","80.0574431825491","80.8772367509857","80.8999050464214","80.9289355473883","80.9831999102592","Life support","ecosystem health","ecosystem health","Asia"
"21","Russian Federation","80.707349738861","80.0574431825491","80.8772367509857","80.8999050464214","80.9289355473883","80.9831999102592","Life support","Life support","Life support","Asia"
"22","Russian Federation","89.7797229273032","90.9846536187651","91.4426779555914","89.9923016490485","90.4708739952809","90.3916571507754","Human health and welfare","human health","human health","Asia"
"23","Russian Federation","43","43","46.022729","46.022729","46.022729","46.022729","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"24","Russian Federation","62.1331480441321","62.5487018698782","64.8725025460284","64.3559733892699","64.5268666237402","64.4986103796899","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"25","Russian Federation","58.5979958629784","62.4076004405557","64.04514898044","63.5695027392841","63.7470962502278","68.428367638209","13","SESI layer","SESI layer","Asia"
