"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Saint Kitts and Nevis","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Saint Kitts and Nevis","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Saint Kitts and Nevis","37.718","37.718","37.718","37.718","37.718","37.718","Source","renewable ressources","Surfacewater Stress","America"
"4","Saint Kitts and Nevis","36.6666666666667","36.6666666666667","36.6666666666667","36.6666666666667","36.6666666666667","36.6666666666667","Source","renewable ressources","Groundwater stress","America"
"5","Saint Kitts and Nevis","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Saint Kitts and Nevis","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Saint Kitts and Nevis","31.7336683417085","50.8291457286432","60.3768844221106","79.4723618090452","92.8391959798995","91.218487394958","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Saint Kitts and Nevis","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Saint Kitts and Nevis","89.721","89.3695","89.2365","89.1035","88.9705","88.8375","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Saint Kitts and Nevis","88.6316666666667","88.41","87.4283333333333","88.6316666666667","90.3416666666667","90.3416666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Saint Kitts and Nevis","54.1835067733569","54.1835067733569","54.4010639694577","54.4010639694577","54.4010639694577","54.4010639694577","Source","renewable ressources","renewable ressources","America"
"12","Saint Kitts and Nevis","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","America"
"13","Saint Kitts and Nevis","16.459572712157","16.459572712157","16.492583783243","16.492583783243","16.492583783243","16.492583783243","Source","Source","Source","America"
"14","Saint Kitts and Nevis","12.5963622410815","15.9419487090887","17.3748214986673","19.9339361152088","21.5452078175054","21.3563207733633","Sink","global System","global System","America"
"15","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"16","Saint Kitts and Nevis","12.5963622410815","15.9419487090887","17.3748214986673","19.9339361152088","21.5452078175054","21.3563207733633","Sink","Sink","Sink","America"
"17","Saint Kitts and Nevis","94.7211697562905","94.5354430888225","94.4650729105737","94.394650272142","94.3241750560269","94.2536471442883","Life support","ecosystem health","ecosystem health","America"
"18","Saint Kitts and Nevis","94.7211697562905","94.5354430888225","94.4650729105737","94.394650272142","94.3241750560269","94.2536471442883","Life support","Life support","Life support","America"
"19","Saint Kitts and Nevis","88.6316666666667","88.41","87.4283333333333","88.6316666666667","90.3416666666667","90.3416666666667","Human health and welfare","human health","human health","America"
"20","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"21","Saint Kitts and Nevis","88.6316666666667","88.41","87.4283333333333","88.6316666666667","90.3416666666667","90.3416666666667","Human health and welfare","Human health and welfare","Human health and welfare","America"
"22","Saint Kitts and Nevis","36.3224317788382","38.4825643922093","39.2223064444675","40.7243831430733","41.7145559718423","41.6150431460222","10","SESI","SESI","America"
