"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Martinique",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","Martinique","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Martinique",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Martinique","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Martinique","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","renewable ressources","America"
"6","Martinique",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"7","Martinique","62.323","62.323","63.33","63.33","63.33","63.33","Source","Source","Source","America"
"8","Martinique",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"9","Martinique",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"10","Martinique",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"11","Martinique","100","100","100","100","100","100","Life support","ecosystem health","ecosystem health","America"
"12","Martinique","100","100","100","100","100","100","Life support","Life support","Life support","America"
"13","Martinique",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"14","Martinique",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"15","Martinique",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"16","Martinique","78.9449175058154","78.9449175058154","79.5801482783238","79.5801482783238","79.5801482783238","79.5801482783238","4","SESI layer","SESI layer","America"
