"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Kazakhstan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Kazakhstan","11.384","11.3333333333333","12.7773333333333","14.69","14.652","16.5266666666667","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Kazakhstan","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"4","Kazakhstan","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Kazakhstan","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Kazakhstan","5","5","5","5","29.1645244215938","5","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Kazakhstan",NA,NA,NA,NA,NA,"57.82","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"8","Kazakhstan","51.2296866666667","51.2167808333333","51.2091166666667","51.2046258333333","51.1947941666667","51.1791116666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Kazakhstan","18.205","18.7433333333333","23.8733333333333","25.71","31.9166666666667","31.9166666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"10","Kazakhstan","95.934988","96.2744705","96.613592","96.7153465","96.818279","96.922342","Human health and welfare","human health","Drinking water contamination","Asia"
"11","Kazakhstan","52.5","52.5","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","Kazakhstan","33.7401837576502","33.6650164612069","35.745395973934","38.3275357934736","38.2779309785678","40.6530031690977","Source","renewable ressources","renewable ressources","Asia"
"13","Kazakhstan","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Kazakhstan","58.0863011024546","58.0215619069384","59.7874535115303","61.909236623846","61.8691611213275","63.7597076287977","Source","Source","Source","Asia"
"15","Kazakhstan","5","5","5","5","12.0757037934842","5","Sink","global System","global System","Asia"
"16","Kazakhstan",NA,NA,NA,NA,NA,"57.82","Sink","critical ecosystems","critical ecosystems","Asia"
"17","Kazakhstan","5","5","5","5","12.0757037934842","17.0029409220876","Sink","Sink","Sink","Asia"
"18","Kazakhstan","51.2296866666667","51.2167808333333","51.2091166666667","51.2046258333333","51.1947941666667","51.1791116666667","Life support","ecosystem health","ecosystem health","Asia"
"19","Kazakhstan","51.2296866666667","51.2167808333333","51.2091166666667","51.2046258333333","51.1947941666667","51.1791116666667","Life support","Life support","Life support","Asia"
"20","Kazakhstan","41.7911049930485","42.4794596490076","48.0259147372194","49.8653342364713","55.5888184627389","55.618684649735","Human health and welfare","human health","human health","Asia"
"21","Kazakhstan","52.5","52.5","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Kazakhstan","46.8405061045997","47.2246930278313","44.1707231794946","45.00865698237","47.5215293319646","47.5342935562893","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Kazakhstan","28.8932736721526","28.9424445800923","28.675794781805","29.0624803174799","36.7177213984124","40.2988392897573","11","SESI layer","SESI layer","Asia"
