"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Lithuania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Lithuania","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Lithuania","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Lithuania","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Lithuania","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Lithuania","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Lithuania","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Lithuania","99.6675","99.6675","99.6675","99.6675","99.6675","98.9075","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Lithuania","56.4477091666667","56.2483841666667","56.0795741666667","55.8571008333333","55.6684008333333","55.5879341666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Lithuania","73.0105","71.253","71.025","70.759","72.2885","72.1555","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"11","Lithuania","79.6066666666667","83.2166666666667","84.4516666666667","80.62","82.995","82.995","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"12","Lithuania","93.9779595","96.1024255","97.6649665","98.0910035","98.1013965","98.1126825","Human health and welfare","human health","Drinking water contamination","Europe"
"13","Lithuania","90.7737809760898","90.7737809760898","92.9648381354279","92.9648381354279","92.9648381354279","92.9648381354279","Source","renewable ressources","renewable ressources","Europe"
"14","Lithuania","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Lithuania","95.2752753740916","95.2752753740916","96.4182753088998","96.4182753088998","96.4182753088998","96.4182753088998","Source","Source","Source","Europe"
"16","Lithuania","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Lithuania","99.6675","99.6675","99.6675","99.6675","99.6675","98.9075","Sink","critical ecosystems","critical ecosystems","Europe"
"18","Lithuania","47.2084002215136","47.2084002215136","47.2084002215136","47.2084002215136","47.2084002215136","47.0280653955232","Sink","Sink","Sink","Europe"
"19","Lithuania","64.1971609194123","63.3077097755676","63.1114233335575","62.868057054961","63.4364658035141","63.3322602135982","Life support","ecosystem health","ecosystem health","Europe"
"20","Lithuania","64.1971609194123","63.3077097755676","63.1114233335575","62.868057054961","63.4364658035141","63.3322602135982","Life support","Life support","Life support","Europe"
"21","Lithuania","86.4943471906113","89.4277558070852","90.8183307260664","88.9274800169779","90.2326182847284","90.2378085066758","Human health and welfare","human health","human health","Europe"
"22","Lithuania",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Lithuania","86.4943471906113","89.4277558070852","90.8183307260664","88.9274800169779","90.2326182847284","90.2378085066758","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Lithuania","70.6928939764856","71.0365903509774","71.468560219198","71.0249876094883","71.4447457882339","71.3481143704096","12","SESI layer","SESI layer","Europe"
