"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1",1,"Afghanistan",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Asia"
"2",2,"Afghanistan",42.696,42.696,42.696,42.696,42.696,42.696,"Source","renewable ressources","Surfacewater Stress","Asia"
"3",3,"Afghanistan",9.48982666666667,9.48982666666667,9.48982666666667,9.48982666666667,9.48982666666667,9.48982666666667,"Source","renewable ressources","Groundwater stress","Asia"
"4",4,"Afghanistan",15.45,15.45,15.45,15.45,15.45,15.45,"Source","non-renewables ressources","area with tolerable erosion","Asia"
"5",5,"Afghanistan",100,100,100,100,100,100,"Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6",6,"Afghanistan",9.30808474456176,10.2953541651905,16.9369848130565,19.1807789508491,20.3924277852571,62.5493631094666,"Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7",7,"Afghanistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"8",8,"Afghanistan",71.8394808333333,72.7010125,73.5570475,74.3942125,75.1558266666667,75.235415,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9",9,"Afghanistan",5,5,5,5,5,5,"Human health and welfare","human health","Concentrations of PM2.5","Asia"
"10",10,"Afghanistan",27.2073995,28.0177495,28.8296955,29.6434845,30.459012,31.209512,"Human health and welfare","human health","Drinking water contamination","Asia"
"11",11,"Afghanistan",34.3464474391278,34.3464474391278,34.3464474391278,34.3464474391278,34.3464474391278,34.3464474391278,"Source","renewable ressources","renewable ressources","Asia"
"12",12,"Afghanistan",15.45,15.45,15.45,15.45,15.45,15.45,"Source","non-renewable ressources","non-renewable ressources","Asia"
"13",13,"Afghanistan",23.0358983531037,23.0358983531037,23.0358983531037,23.0358983531037,23.0358983531037,23.0358983531037,"Source","Source","Source","Asia"
"14",14,"Afghanistan",30.5091539452699,32.0863743124562,41.1545681705646,43.7958661871747,45.157975801908,79.0881553138437,"Sink","global System","global System","Asia"
"15",15,"Afghanistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16",16,"Afghanistan",30.5091539452699,32.0863743124562,41.1545681705646,43.7958661871747,45.157975801908,79.0881553138437,"Sink","Sink","Sink","Asia"
"17",17,"Afghanistan",71.8394808333333,72.7010125,73.5570475,74.3942125,75.1558266666667,75.235415,"Life support","ecosystem health","ecosystem health","Asia"
"18",18,"Afghanistan",71.8394808333333,72.7010125,73.5570475,74.3942125,75.1558266666667,75.235415,"Life support","Life support","Life support","Asia"
"19",19,"Afghanistan",11.6634899365499,11.8359092384151,12.0061849685901,12.1744577908012,12.340788467517,12.4918997754545,"Human health and welfare","human health","human health","Asia"
"20",20,"Afghanistan",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21",21,"Afghanistan",11.6634899365499,11.8359092384151,12.0061849685901,12.1744577908012,12.340788467517,12.4918997754545,"Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22",22,"Afghanistan",27.7017212907963,28.240148176851,30.2491468523771,30.917670413016,31.3408879028103,36.1736100742211,"10","SESI","SESI","Asia"
"23",1,"Albania",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Europe"
"24",2,"Albania",40.948,40.948,40.625,40.625,40.625,40.625,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"25",3,"Albania",100,100,100,100,100,100,"Source","renewable ressources","Surfacewater Stress","Europe"
"26",4,"Albania",100,100,100,100,100,100,"Source","renewable ressources","Groundwater stress","Europe"
"27",5,"Albania",5,5,5,5,5,5,"Source","non-renewables ressources","area with tolerable erosion","Europe"
"28",6,"Albania",75.4820295,78.178901375,72.257123875,72.282484125,76.33723375,80.282861625,"Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"29",7,"Albania",54.7262180974478,34.2714617169374,47.4965197215777,31.8027842227378,40.0904872389791,24.5498392282958,"Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"30",8,"Albania",56.4702341666667,56.5474,56.6308841666667,56.7442458333333,56.74443,56.8244291666667,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"31",9,"Albania",68.7735,67.073,66.731,65.6955,64.5365,64.014,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"32",10,"Albania",55.73,58.3583333333333,55.635,53.26,64.28,64.28,"Human health and welfare","human health","Concentrations of PM2.5","Europe"
"33",11,"Albania",96.0610815,96.1808955,96.2963585,96.407575,96.5146875,96.617848,"Human health and welfare","human health","Drinking water contamination","Europe"
"34",12,"Albania",40.625,40.625,28.75,28.75,28.75,28.75,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"35",13,"Albania",79.9941399811598,79.9941399811598,79.8359216893685,79.8359216893685,79.8359216893685,79.8359216893685,"Source","renewable ressources","renewable ressources","Europe"
"36",14,"Albania",5,5,5,5,5,5,"Source","non-renewable ressources","non-renewable ressources","Europe"
