"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Curacao",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","Curacao","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Curacao","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Curacao","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Curacao","78.3685","78.188","78.017","77.8365","77.6655","77.485","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","Curacao","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","renewable ressources","America"
"7","Curacao",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Curacao","62.323","62.323","63.33","63.33","63.33","63.33","Source","Source","Source","America"
"9","Curacao","5","5","5","5","5","5","Sink","global System","global System","America"
"10","Curacao",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Curacao","5","5","5","5","5","5","Sink","Sink","Sink","America"
"12","Curacao","88.525984885795","88.4239786483282","88.3272324937219","88.22499645792","88.1280318627393","88.0255644685111","Life support","ecosystem health","ecosystem health","America"
"13","Curacao","88.525984885795","88.4239786483282","88.3272324937219","88.22499645792","88.1280318627393","88.0255644685111","Life support","Life support","Life support","America"
"14","Curacao",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","Curacao",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Curacao",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Curacao","30.2154945781041","30.203884602749","30.3546133408711","30.3428973111434","30.3317770111096","30.3200167594212","5","SESI layer","SESI layer","America"
