"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Kyrgyzstan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Kyrgyzstan","36.7173333333333","36.7173333333333","36.7173333333333","36.7173333333333","36.7173333333333","36.7173333333333","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Kyrgyzstan","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"4","Kyrgyzstan","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Kyrgyzstan","68.143251","70.980627875","71.990962375","64.97299175","69.674347","72.505634375","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Kyrgyzstan","59.5503791982665","55.6906825568797","64.953954496208","65.9832069339112","81.9366197183099","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Kyrgyzstan","67.1347166666667","67.1456958333333","67.1603158333333","67.18243","67.2104941666667","67.2162316666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Kyrgyzstan","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Kyrgyzstan","83.9761315","85.006492","85.9579645","86.9162295","87.4225035","88.3317105","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Kyrgyzstan",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"11","Kyrgyzstan","60.5948292623499","60.5948292623499","60.5948292623499","60.5948292623499","60.5948292623499","60.5948292623499","Source","renewable ressources","renewable ressources","Asia"
"12","Kyrgyzstan","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Kyrgyzstan","17.4061525418959","17.4061525418959","17.4061525418959","17.4061525418959","17.4061525418959","17.4061525418959","Source","Source","Source","Asia"
"14","Kyrgyzstan","63.7020913067432","62.8725664711934","68.3819983200548","65.4761510762167","75.5571338409588","85.1502403842761","Sink","global System","global System","Asia"
"15","Kyrgyzstan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Kyrgyzstan","63.7020913067432","62.8725664711934","68.3819983200548","65.4761510762167","75.5571338409588","85.1502403842761","Sink","Sink","Sink","Asia"
"17","Kyrgyzstan","67.1347166666667","67.1456958333333","67.1603158333333","67.18243","67.2104941666667","67.2162316666667","Life support","ecosystem health","ecosystem health","Asia"
"18","Kyrgyzstan","67.1347166666667","67.1456958333333","67.1603158333333","67.18243","67.2104941666667","67.2162316666667","Life support","Life support","Life support","Asia"
"19","Kyrgyzstan","20.4909896661923","20.6163153836955","20.7313729043689","20.8466099762048","20.9072360081384","21.0156739720619","Human health and welfare","human health","human health","Asia"
"20","Kyrgyzstan",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Kyrgyzstan","20.4909896661923","20.6163153836955","24.4136636128338","24.481422279269","24.5169948246921","24.5804928082571","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Kyrgyzstan","35.1432273869617","35.0831273974333","37.3764082545917","37.0015204421488","38.368131164207","39.5583667531445","10","SESI layer","SESI layer","Asia"
