"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Finland","1.021732e+02","1.021732e+02","1.021732e+02","1.021732e+02","1.021732e+02","1.021732e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Finland","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Finland","   6.46","   5.45","   5.45","   6.64","   7.11","   7.11","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Finland","5.000000e+00","4.090909e+00","4.090909e+00","5.000000e+00","9.090909e+00","9.090909e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Finland"," 0.04"," 0.04"," 0.04"," 0.04"," 0.04"," 0.04","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Finland","14.3055715","14.0504038","13.5587011","13.9157555","12.9022477","11.7210100","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Finland","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Finland","100.00","100.00","100.00","100.00","100.00","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Finland"," 85.6"," 85.6"," 85.6"," 85.6"," 85.6"," 86.9","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Finland","95.96020","95.92614","95.89267","95.85897","95.82857","95.80137","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Finland","74.83","72.17","71.17","71.68","73.76","74.73","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Finland"," 5.83"," 5.39"," 5.37"," 5.57"," 5.47"," 5.47","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Finland","100.00000","100.00000","100.00000","100.00000","100.00000","100.00000","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Finland","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
