"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Indicator"
"1",1,"Austria",100,100,100,100,100,100,"Source","state of forest reccources"
"2",2,"Austria",62.323,62.323,63.33,63.33,63.33,63.33,"Source","Proportion of fish stocks not overexploited"
"3",3,"Austria",100,100,100,100,100,100,"Source","Surfacewater Stress"
"4",4,"Austria",100,100,100,100,100,100,"Source","Groundwater stress"
"5",5,"Austria",95.84375,95.84375,95.84375,95.84375,95.84375,95.84375,"Source","area with tolerable erosion"
"6",6,"Austria",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"7",7,"Austria",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"8",8,"Austria",86.7,86.7,86.7,86.7,86.7,89.075,"Sink","Proportion of surface water in good chemical status"
"9",9,"Austria",94.87,94.87,94.87,94.87,94.87,96.39,"Sink","Proportion of ground water in good chemical status"
"10",10,"Austria",65.1834141666667,65.1748858333333,65.3454241666667,65.2900041666666,65.3604125,65.3836458333333,"Life support","Terrestrial habitats in favourable conservation status"
"11",11,"Austria",32.3283333333333,28.0533333333333,28.18,29.32,25.615,25.615,"Human health and welfare","Concentrations of PM2.5"
"12",12,"Austria",99.571778,99.7677915,99.9637955,100,100,100,"Human health and welfare","Drinking water contamination"
"13",13,"Austria",52.5,52.5,28.75,28.75,28.75,28.75,"Human health and welfare","status of world heritage sites"
"14",14,"Austria",63.4582606627015,62.7785268332329,60.0527536833526,60.2339748152437,59.6162264968634,59.8150111464065,"13","SESI"
"15",1,"Belgium",NA,NA,NA,NA,NA,NA,"Source","state of forest reccources"
"16",2,"Belgium",74.7965,74.7965,80.3445,80.3445,80.3445,80.3445,"Source","Proportion of fish stocks not overexploited"
"17",3,"Belgium",35.4886666666667,38.5793333333333,41.6826666666667,38.3006666666667,38.668,38.668,"Source","Surfacewater Stress"
"18",4,"Belgium",62,62,60.592594,62,59.185188,59.185188,"Source","Groundwater stress"
"19",5,"Belgium",100,100,100,100,100,100,"Source","area with tolerable erosion"
"20",6,"Belgium",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"21",7,"Belgium",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"22",8,"Belgium",54.4604091666667,54.2414633333333,53.9862225,53.719025,53.3478866666667,52.9080541666667,"Life support","Terrestrial habitats in favourable conservation status"
"23",9,"Belgium",73.2005,71.8515,72.564,72.602,72.906,73.153,"Life support","Aquatic habitats in favourable conservation status"
"24",10,"Belgium",31.22,28.3383333333333,28.2116666666667,27.6733333333333,24.8233333333333,24.8233333333333,"Human health and welfare","Concentrations of PM2.5"
"25",11,"Belgium",99.729744,99.776845,99.8239365,99.871028,99.9181195,99.9181195,"Human health and welfare","Drinking water contamination"
"26",12,"Belgium",52.5,52.5,28.75,28.75,28.75,28.75,"Human health and welfare","status of world heritage sites"
"27",13,"Belgium",50.4275283748344,50.2650604402899,48.1403999741409,47.7703207379405,47.1323850709655,47.1114090317246,"12","SESI"
"28",1,"Bulgaria",100,100,100,100,100,100,"Source","state of forest reccources"
"29",2,"Bulgaria",40.948,40.948,40.625,40.625,40.625,40.625,"Source","Proportion of fish stocks not overexploited"
"30",3,"Bulgaria",26.0393333333333,26.5966666666667,26.3053333333333,24.1266666666667,24.1013333333333,20.8586666666667,"Source","Surfacewater Stress"
"31",4,"Bulgaria",100,100,100,100,100,100,"Source","Groundwater stress"
"32",5,"Bulgaria",100,100,100,100,100,100,"Source","area with tolerable erosion"
"33",6,"Bulgaria",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"34",7,"Bulgaria",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"35",8,"Bulgaria",99.5725,99.5725,99.5725,99.5725,99.5725,99.525,"Sink","Proportion of surface water in good chemical status"
"36",9,"Bulgaria",31.695,31.695,31.695,31.695,31.695,29.32,"Sink","Proportion of ground water in good chemical status"
"37",10,"Bulgaria",64.2288358333333,64.2332275,64.2532025,64.2591525,64.3017375,64.2800908333333,"Life support","Terrestrial habitats in favourable conservation status"
"38",11,"Bulgaria",71.329,69.372,71.2245,71.462,69.03,68.137,"Life support","Aquatic habitats in favourable conservation status"
"39",12,"Bulgaria",53.7983333333333,51.3283333333333,53.45,53.7666666666667,43.9183333333333,43.9183333333333,"Human health and welfare","Concentrations of PM2.5"
"40",13,"Bulgaria",97.5555075,98.0462015,98.5371805,99.0284255,98.9940165,98.960282,"Human health and welfare","Drinking water contamination"
"41",14,"Bulgaria",44.5833365,44.5833365,36.6666635,36.6666635,36.6666635,36.6666635,"Human health and welfare","status of world heritage sites"
"42",15,"Bulgaria",54.0234471573399,53.8364033780263,53.2921096287995,53.0181625234792,52.125655270829,51.2522721657387,"14","SESI"
"43",1,"Croatia",NA,NA,NA,NA,NA,NA,"Source","state of forest reccources"
"44",2,"Croatia",40.948,40.948,40.625,40.625,40.625,40.625,"Source","Proportion of fish stocks not overexploited"
"45",3,"Croatia",100,100,100,100,100,100,"Source","Surfacewater Stress"
"46",4,"Croatia",100,100,100,100,100,100,"Source","Groundwater stress"
"47",5,"Croatia",100,100,100,100,100,100,"Source","area with tolerable erosion"
"48",6,"Croatia",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"49",7,"Croatia",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"50",8,"Croatia",NA,NA,NA,NA,NA,65.04,"Sink","Proportion of surface water in good chemical status"
"51",9,"Croatia",NA,NA,NA,NA,NA,91.45,"Sink","Proportion of ground water in good chemical status"
"52",10,"Croatia",77.4651633333333,77.3389808333333,77.20104,77.0678733333333,76.8547216666667,76.74578,"Life support","Terrestrial habitats in favourable conservation status"
"53",11,"Croatia",58.1145,56.623,56.87,58.01,59.15,58.371,"Life support","Aquatic habitats in favourable conservation status"
"54",12,"Croatia",48.225,45.3116666666667,46.8633333333333,49.27,37.585,37.585,"Human health and welfare","Concentrations of PM2.5"
"55",13,"Croatia",52.5,52.5,28.75,28.75,28.75,28.75,"Human health and welfare","status of world heritage sites"
"56",14,"Croatia",54.5509751630393,54.0625262808793,51.0474530379255,51.3967908442936,50.1076584532408,53.7756875605203,"13","SESI"
"57",1,"Cyprus",100,100,100,100,100,100,"Source","state of forest reccources"
"58",2,"Cyprus",40.948,40.948,40.625,40.625,40.625,40.625,"Source","Proportion of fish stocks not overexploited"
"59",3,"Cyprus",13.4993333333333,11.08,10.7253333333333,9.16733333333333,13.322,20.9473333333333,"Source","Surfacewater Stress"
"60",4,"Cyprus",19.674802,22.7642273333333,22.7642273333333,22.7642273333333,16.585364,22.7642273333333,"Source","Groundwater stress"
"61",5,"Cyprus",100,100,100,100,100,100,"Source","area with tolerable erosion"
"62",6,"Cyprus",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"63",7,"Cyprus",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"64",8,"Cyprus",97.2925,97.2925,97.2925,97.2925,97.2925,97.1975,"Sink","Proportion of surface water in good chemical status"
"65",9,"Cyprus",16.875,16.875,16.875,16.875,16.875,13.645,"Sink","Proportion of ground water in good chemical status"
"66",10,"Cyprus",NA,NA,NA,NA,NA,NA,"Life support","Terrestrial habitats in favourable conservation status"
"67",11,"Cyprus",69.448,67.719,67.5955,67.4815,68.6215,66.598,"Life support","Aquatic habitats in favourable conservation status"
"68",12,"Cyprus",37.0783333333333,32.455,35.4,37.87,35.1466666666667,35.1466666666667,"Human health and welfare","Concentrations of PM2.5"
"69",13,"Cyprus",99.20732,99.486525,99.7656635,99.776921,99.7769305,99.7769115,"Human health and welfare","Drinking water contamination"
"70",14,"Cyprus",41.0367240030803,40.3341501569817,40.4937221057574,40.1875054552396,40.1849057482932,41.9851544101137,"13","SESI"
"71",1,"Czechia",NA,NA,NA,NA,NA,NA,"Source","state of forest reccources"
"72",2,"Czechia",100,100,100,100,100,100,"Source","Surfacewater Stress"
"73",3,"Czechia",6.10723133333333,5.22145133333333,6.10723133333333,6.10723133333333,5.22145133333333,5.22145133333333,"Source","Groundwater stress"
"74",4,"Czechia",100,100,100,100,100,100,"Source","area with tolerable erosion"
"75",5,"Czechia",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"76",6,"Czechia",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"77",7,"Czechia",52.5,52.5,52.5,52.5,52.5,98.8125,"Sink","Proportion of surface water in good chemical status"
"78",8,"Czechia",43.95,43.95,43.95,43.95,43.95,41.005,"Sink","Proportion of ground water in good chemical status"
"79",9,"Czechia",49.6720616666667,49.5667608333333,49.5564191666667,49.4936608333333,49.4644775,49.1967275,"Life support","Terrestrial habitats in favourable conservation status"
"80",10,"Czechia",44.6466666666667,41.7966666666667,42.9683333333333,44.5833333333333,34.5766666666667,34.5766666666667,"Human health and welfare","Concentrations of PM2.5"
"81",11,"Czechia",99.5419765,99.543088,99.544342,99.5457385,99.547268,99.54894,"Human health and welfare","Drinking water contamination"
"82",12,"Czechia",41.6086863208696,40.68387129528,41.4400009251362,41.5879711919613,39.9115442399086,42.2004023884761,"11","SESI"
"83",1,"Denmark",100,100,100,100,100,100,"Source","state of forest reccources"
"84",2,"Denmark",74.7965,74.7965,80.3445,80.3445,80.3445,80.3445,"Source","Proportion of fish stocks not overexploited"
"85",3,"Denmark",100,100,100,11.2066666666667,5.722,6.77333333333333,"Source","Surfacewater Stress"
"86",4,"Denmark",100,100,100,100,100,100,"Source","Groundwater stress"
"87",5,"Denmark",100,100,100,100,100,100,"Source","area with tolerable erosion"
"88",6,"Denmark",5,5,5,5,5,5,"Sink","CO2 emissions [tonnes per capita]"
"89",7,"Denmark",100,100,100,100,100,100,"Sink","Consumption of HCFC in ODP per capita"
"90",8,"Denmark",NA,NA,NA,NA,NA,48.7,"Sink","Proportion of surface water in good chemical status"
"91",9,"Denmark",NA,NA,NA,NA,NA,76.25,"Sink","Proportion of ground water in good chemical status"
"92",10,"Denmark",26.0542308333333,25.7149958333333,25.4711875,25.1885058333333,25.0380275,24.81214,"Life support","Terrestrial habitats in favourable conservation status"
"93",11,"Denmark",73.438,72.146,71.785,71.2625,70.8825,72.412,"Life support","Aquatic habitats in favourable conservation status"
"94",12,"Denmark",23.145,20.1366666666667,20.7383333333333,20.8966666666667,19.7566666666667,19.7566666666667,"Human health and welfare","Concentrations of PM2.5"
"95",13,"Denmark",98.937653,99.33215,99.7266565,100,100,100,"Human health and welfare","Drinking water contamination"
"96",14,"Denmark",68.3333365,68.3333365,68.3333365,68.3333365,68.3333365,68.3333365,"Human health and welfare","status of world heritage sites"
