"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","South Korea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","South Korea","  85.22","  85.22","  85.22","  85.22","  85.22","  85.22","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"3","South Korea","2.796992e+01","2.796992e+01","2.796992e+01","2.796992e+01","2.796992e+01","2.796992e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"4","South Korea"," 9.15"," 9.15"," 9.15"," 9.15"," 9.15"," 9.15","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"5","South Korea","14.0824643","14.3449833","14.5017689","14.5673392","14.0704686","13.2124751","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"6","South Korea"," 1678.39"," 1528.42"," 1499.18"," 1407.74"," 1310.53"," 1229.05","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 9.7530","0.5% compare to 2007 in CO2-eq tonnes"
"7","South Korea"," 41.30"," 41.30"," 41.30"," 41.30"," 41.30"," 85.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"8","South Korea"," 96.0"," 96.0"," 96.0"," 96.0"," 96.0"," 96.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"9","South Korea","84.79728","84.46678","84.13799","83.86445","83.62378","83.36855","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"10","South Korea","71.44","69.99","70.56","69.25","67.75","67.50","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"11","South Korea","27.61","27.26","25.81","23.70","24.04","24.04","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"12","South Korea"," 98.62159"," 98.74105"," 98.86057"," 98.98014"," 99.09977"," 99.19082","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"13","South Korea","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
