"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Norway","1.000899e+02","1.001542e+02","1.002185e+02","1.002828e+02","1.003471e+02","1.004114e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Norway","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Norway","   2.06","   2.01","   2.05","   2.05","   2.05","   2.05","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Norway",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Norway"," 2.93"," 2.93"," 2.93"," 2.93"," 2.93"," 2.93","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Norway","14.5934228","14.3045884","14.0794002","13.8355495","13.0149971","12.5232706","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Norway","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0875","0.5% compare to 2007 in CO2-eq tonnes"
"8","Norway","100.00","100.00","100.00","100.00","100.00","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Norway","100.0","100.0","100.0","100.0","100.0","  0.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Norway","95.25304","95.11444","94.96881","94.81655","94.65230","94.46863","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Norway","64.01","64.13","64.13","63.70","63.51","63.70","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Norway"," 6.82"," 6.33"," 6.36"," 6.33"," 6.30"," 6.30","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Norway"," 99.01896"," 98.94374"," 98.86851"," 98.79329"," 98.71807"," 98.64284","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Norway","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
