"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Tunisia","1.075369e+02","1.077736e+02","1.080103e+02","1.082470e+02","1.084837e+02","1.087204e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Tunisia","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Tunisia","  92.02","  94.61","  89.53","  96.00","  96.31","  98.11","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Tunisia","1.656250e+02","1.750000e+02","1.681250e+02","1.706250e+02","1.718750e+02","1.762500e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Tunisia"," 2.77"," 2.77"," 2.77"," 2.77"," 2.77"," 2.77","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Tunisia"," 3.8328057"," 3.7087611"," 3.6749701"," 3.6545833"," 3.6103984"," 3.3686877","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Tunisia","   35.57","   25.51","   28.49","   25.91","   25.36","   23.24","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.1565","0.5% compare to 2007 in CO2-eq tonnes"
"8","Tunisia",NA,NA,NA,NA,NA," 83.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Tunisia",NA,NA,NA,NA,NA," 86.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Tunisia","69.12283","69.10217","69.08203","69.06257","69.04383","69.01145","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Tunisia","68.54","67.61","67.76","68.77","68.56","68.20","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Tunisia","26.13","27.58","26.13","27.22","26.52","26.52","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Tunisia"," 78.22101"," 78.51297"," 78.76453"," 78.99465"," 79.22226"," 79.44709","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"14","Tunisia","25.00000","25.00000","50.00000","50.00000","50.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
