"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Georgia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Georgia","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Georgia","   5.27","   5.17","   4.48","   4.21","   5.12","   5.39","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Georgia","2.901915e+00","2.785839e+00","2.843877e+00","2.843877e+00","2.843877e+00","2.959954e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Georgia"," 2.60"," 2.60"," 2.60"," 2.60"," 2.60"," 2.60","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Georgia"," 4.4341054"," 4.5669376"," 4.5815315"," 4.5016542"," 4.7734604"," 4.6173112","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Georgia","    1.68","    1.39","    2.10","    1.89","    2.40","    0.85","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0090","0.5% compare to 2007 in CO2-eq tonnes"
"8","Georgia",NA,NA,NA,NA,NA," 92.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"9","Georgia","76.77288","76.64168","76.51159","76.39112","76.27164","76.07991","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Georgia","74.08","72.44","74.49","73.34","72.00","72.18","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"11","Georgia","22.57","22.24","21.06","20.66","19.06","19.06","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"12","Georgia"," 67.94578"," 68.18889"," 68.43390"," 68.68178"," 68.93202"," 69.18510","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
