"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Slovakia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Slovakia","   2.47","   2.39","   2.39","   2.39","   2.40","   2.39","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"3","Slovakia","1.734104e+01","1.734104e+01","1.791908e+01","1.849711e+01","1.849711e+01","1.791908e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"4","Slovakia"," 0.70"," 0.70"," 0.70"," 0.70"," 0.70"," 0.70","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"5","Slovakia"," 8.2923496"," 8.4289055"," 8.8386807"," 8.6973333"," 8.2837459"," 7.9422670","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"6","Slovakia","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"7","Slovakia"," 49.20"," 49.20"," 49.20"," 49.20"," 49.20"," 50.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"8","Slovakia"," 49.3"," 49.3"," 49.3"," 49.3"," 49.3"," 47.3","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"9","Slovakia","67.95797","68.01481","68.06104","68.11155","68.08423","68.07042","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Slovakia","19.05","17.98","18.49","19.08","15.89","15.89","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Slovakia"," 98.97972"," 99.03132"," 99.08292"," 99.13453"," 99.18613"," 99.23774","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Slovakia","62.50000","62.50000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
