"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","United Arab Emirates","1.261916e+02","1.261916e+02","1.261916e+02","1.261916e+02","1.261916e+02","1.261916e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","United Arab Emirates","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","United Arab Emirates","1696.36","1679.33","1630.00","1667.33","1628.67","1587.33","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","United Arab Emirates","2.116667e+03","2.100000e+03","2.041667e+03","2.083333e+03","2.033333e+03","1.983333e+03","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","United Arab Emirates"," 2.67"," 2.67"," 2.67"," 2.67"," 2.67"," 2.67","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","United Arab Emirates","30.2887050","30.8367710","29.9792164","27.4579379","28.9415840","28.0546294","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","United Arab Emirates","  473.97","  473.97","  473.94","  475.10","  475.34","  353.59","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 2.1300","0.5% compare to 2007 in CO2-eq tonnes"
"8","United Arab Emirates","  0.00","  0.00","  0.00","  0.00","  0.00",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","United Arab Emirates"," 50.0"," 50.0"," 50.0"," 50.0"," 50.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"10","United Arab Emirates",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"11","United Arab Emirates","85.08","84.24","85.10","84.86","82.69","82.96","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"12","United Arab Emirates","43.93","42.89","43.33","43.10","41.75","41.75","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
