"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Kuwait","1.740947e+02","1.740947e+02","1.740947e+02","1.740947e+02","1.740947e+02","1.740947e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Kuwait","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Kuwait","3399.00","3575.00","3850.50","3850.50","3850.50","3850.50","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Kuwait","3.400000e+03","3.600000e+03","3.850000e+03","3.850000e+03","3.850000e+03","3.850000e+03","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Kuwait"," 0.41"," 0.41"," 0.41"," 0.41"," 0.41"," 0.41","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Kuwait","35.4657601","35.4261590","34.3747308","33.3100994","32.7990709","32.4840172","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Kuwait","  338.98","  297.86","  295.94","  254.18","  253.63","  253.82","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 1.7995","0.5% compare to 2007 in CO2-eq tonnes"
"8","Kuwait",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Kuwait","86.10","85.80","85.62","85.44","78.36","76.13","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Kuwait","66.17","64.37","65.63","66.05","64.08","64.08","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Kuwait","100.00000","100.00000","100.00000","100.00000","100.00000","100.00000","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
