"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1",1,"Afghanistan",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"2",2,"Afghanistan",54.76,54.76,54.76,54.76,54.76,54.76,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"3",3,"Afghanistan",28.5446,28.5446,28.5446,28.5446,28.5446,28.5446,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"4",4,"Afghanistan",9.12,9.12,9.12,9.12,9.12,9.12,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"5",5,"Afghanistan",0.8971515,0.855899,0.853829,0.8613544,0.8264785,0.8159545,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"6",6,"Afghanistan",20.24,20.02,18.54,18.04,17.77,6.05,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.0305,"0.5% compare to 2007 in CO2-eq tonnes"
"7",7,"Afghanistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia",100,"%"
"8",8,"Afghanistan",77.18081,77.78895,78.39321,78.98415,79.52176,79.57794,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"9",9,"Afghanistan",67.2,64,61.78,70.25,62.49,62.49,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"10",10,"Afghanistan",23.37621,24.22921,25.08389,25.94051,26.79896,27.58896,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"11",1,"Albania",100.2971,100.2961,100.2609,100.2605,100.2605,100.2605,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"12",2,"Albania",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"13",3,"Albania",5.53,6.56,6.56,5.76,6.8,4.72,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"14",4,"Albania",3.064516,1.774194,1.774194,1.612903,3.548387,1.290323,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"15",5,"Albania",12.31,12.31,12.31,12.31,12.31,12.31,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"16",6,"Albania",3.0323356,2.9187831,3.1681211,3.1670533,2.996327,2.8301953,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"17",7,"Albania",2.58,3.74,2.99,3.88,3.41,3.1,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0.0125,"0.5% compare to 2007 in CO2-eq tonnes"
"18",8,"Albania",66.33193,66.3864,66.44533,66.52535,66.52548,66.58195,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"19",9,"Albania",67.13,65.34,64.98,63.89,62.67,62.12,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"20",10,"Albania",18.98,18.15,19.01,19.76,16.28,16.28,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"21",11,"Albania",95.85377,95.97989,96.10143,96.2185,96.33125,96.43984,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"22",12,"Albania",37.5,37.5,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"23",1,"Algeria",117.9592,117.9592,117.1753,116.3913,116.934,117.5371,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"24",2,"Algeria",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"25",3,"Algeria",125.99,129.87,137.92,137.92,137.92,137.92,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"26",4,"Algeria",475,416.4474,532.8947,532.8947,532.8947,532.8947,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"27",5,"Algeria",2.55,2.55,2.55,2.55,2.55,2.55,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"28",6,"Algeria",6.5130323,6.4522241,6.4067616,6.5566636,6.4938242,6.1847665,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"29",7,"Algeria",53.43,24.16,28.52,30.13,46.37,39.33,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.215,"0.5% compare to 2007 in CO2-eq tonnes"
"30",8,"Algeria",96.80509,96.82971,96.85419,96.87773,96.90503,96.93311,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"31",9,"Algeria",73.42,72.51,73.2,69.76,71.97,71.59,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"32",10,"Algeria",22.49,23.06,23.33,22.73,22.68,22.68,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"33",11,"Algeria",83.79525,84.01963,84.23902,84.4538,84.66394,84.86967,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"34",12,"Algeria",50,50,50,50,50,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"35",1,"American Samoa",95.80838,95.64205,95.47572,95.30938,95.14305,94.97671,"Source","renewable ressources","state of forest reccources","Oceania",100,"%"
"36",2,"American Samoa",85.71,85.71,83.87,83.87,83.87,83.87,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania",100,"% Sus fish stock"
"37",3,"American Samoa",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania",100,"%"
"38",4,"American Samoa",86.48,86.32,86.17,86.01,85.85,85.69,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania",100,"%"
"39",5,"American Samoa",98.20949,98.28573,98.36197,98.36197,98.36197,98.36197,"Human health and welfare","human health","Drinking water contamination","Oceania",100,"% without E.coli"
"40",1,"Andorra",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"41",2,"Andorra",6.69,6.69,6.69,6.69,6.69,6.69,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"42",3,"Andorra",0,0,0,0,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0,"0.5% compare to 2007 in CO2-eq tonnes"
"43",4,"Andorra",100,100,100,100,100,86,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"44",5,"Andorra",75,75,75,75,75,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"45",6,"Andorra",82.56453,82.54527,82.38414,82.36823,82.34944,82.05519,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"46",7,"Andorra",9.94,9.06,9.31,9.21,8.52,8.52,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"47",8,"Andorra",90.64,90.64,90.64,90.64,90.64,90.64,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"48",1,"Angola",87.70701,87.0053,86.30372,85.60202,84.90031,84.19874,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"49",2,"Angola",67.65,67.65,67.65,67.65,67.65,67.65,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"50",3,"Angola",1.87,1.87,1.87,1.87,1.87,1.87,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"51",4,"Angola",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"52",5,"Angola",1.87,1.87,1.87,1.87,1.87,1.87,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"53",6,"Angola",3.0867383,2.8798626,2.6055572,2.3839805,2.3076518,2.0227714,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"54",7,"Angola",13.78,11.55,10.45,10.45,9.35,9.16,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0,"0.5% compare to 2007 in CO2-eq tonnes"
"55",8,"Angola",76.18385,76.16885,76.16702,76.1584,76.12625,76.07462,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"56",9,"Angola",72.26,69.47,69.53,69.33,70.19,71.3,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
