"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Burundi","1.042554e+02","1.042554e+02","1.042554e+02","1.042554e+02","1.042554e+02","1.042554e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Burundi","  10.19","  10.19","  10.19","  10.19","  10.19","  10.19","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Burundi",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Burundi","37.12","37.12","37.12","37.12","37.12","37.12","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Burundi"," 0.5079260"," 0.5392573"," 0.5927764"," 0.6002820"," 0.5512273"," 0.5345542","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Burundi","    2.48","    2.31","    2.09","    2.04","    1.79","    1.34","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0290","0.5% compare to 2007 in CO2-eq tonnes"
"7","Burundi",NA,NA,NA,NA,NA,"100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Burundi",NA,NA,NA,NA,NA,"100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"9","Burundi","45.42055","45.67554","45.96666","46.21233","46.58930","46.46198","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Burundi","28.37","28.37","27.63","27.98","28.00","28.00","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
