"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Samoa","9.340841e+01","9.313513e+01","9.286186e+01","9.258859e+01","9.231531e+01","9.204204e+01","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Samoa","86.67000","86.67000","86.67000","86.67000","86.67000","86.67000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Samoa",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"4","Samoa"," 1.90"," 1.90"," 1.90"," 1.90"," 1.90"," 1.90","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"5","Samoa"," 2.7458994"," 2.8127045"," 2.7304272"," 2.6857459"," 2.8529743"," 2.8423928","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"6","Samoa","    0.07","    0.06","    0.07","    0.01","    0.01","    0.04","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.0010","0.5% compare to 2007 in CO2-eq tonnes"
"7","Samoa",NA,NA,NA,NA,NA,"100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania","100","%"
"8","Samoa","98.04192","96.11862","94.34852","94.34718","94.34602","94.38465","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"9","Samoa","79.89","79.76","79.63","79.49","79.36","79.23","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"10","Samoa"," 7.76"," 7.62"," 7.67"," 7.77"," 7.78"," 7.78","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"11","Samoa"," 45.97572"," 46.08468"," 46.18011"," 46.23188"," 46.23012"," 46.22855","Human health and welfare","human health","Drinking water contamination","Oceania","100","% without E.coli"
